Connected to tuneTrend.
BEGINNING CALCULATIONS!
DONE WITH CALCULATIONS!
BEGINNING ANALYSIS! 


Average derivative of average song popularity: -0.109547931007

Big Movers Positive: 	 Good To You feat. Kate Voegele by: Kate Voegele with avg. popularity derivative: 0.25
Big Movers Positive: 	 Paul Simon by: Rye Rye with avg. popularity derivative: 0.25
Big Movers Positive: 	 All of Me by: Scott Hoying with avg. popularity derivative: 0.25
Big Movers Positive: 	 Make It Shine (Victorious Theme) by: Victorious Cast with avg. popularity derivative: 0.25
Big Movers Positive: 	 Bay Of Naples by: Midnight Red with avg. popularity derivative: 0.25
Big Movers Positive: 	 Come Thou Fount of Every Blessing by: Sonos with avg. popularity derivative: 0.25
Big Movers Positive: 	 Living In The Moment by: Jason Mraz with avg. popularity derivative: 0.25
Big Movers Positive: 	 Rude - Zedd Remix by: Magic! with avg. popularity derivative: 0.25
Big Movers Positive: 	 Guiding Light - Radio Edit by: Foy Vance with avg. popularity derivative: 0.25
Big Movers Positive: 	 Police Sounds by: Gabriel Rios with avg. popularity derivative: 0.25
Big Movers Positive: 	 No Me Ensenaste by: Thalia with avg. popularity derivative: 0.25
Big Movers Positive: 	 Lips Are Movin by: Meghan Trainor with avg. popularity derivative: 0.25
Big Movers Positive: 	 Praise to the Man by: BYU Vocal Point with avg. popularity derivative: 0.25
Big Movers Positive: 	 I Won't Stand in Your Way by: Drake Bell with avg. popularity derivative: 0.25
Big Movers Positive: 	 Never Been In Love by: Elliphant with avg. popularity derivative: 0.25
Big Movers Positive: 	 Me Enamoré de Ti by: Chayanne with avg. popularity derivative: 0.25
Big Movers Positive: 	 She Makes Me Wanna by: JLS with avg. popularity derivative: 0.25
Big Movers Positive: 	 Maybe by: Teyana Taylor with avg. popularity derivative: 0.25
Big Movers Positive: 	 Look at You by: Big & Rich with avg. popularity derivative: 0.25
Big Movers Positive: 	 Empire by: Ella Henderson with avg. popularity derivative: 0.25
Big Movers Positive: 	 Cassie by: Cassie with avg. popularity derivative: 0.25
Big Movers Positive: 	 För livet by: Mapei with avg. popularity derivative: 0.25
Big Movers Positive: 	 Athena's Song (The City) by: Stevie Crooks with avg. popularity derivative: 0.25
Big Movers Positive: 	 Blame It on the Boogie by: Rockapella with avg. popularity derivative: 0.25
Big Movers Positive: 	 Now Is The Time feat. Jasmine V by: Jasmine V with avg. popularity derivative: 0.25
Big Movers Positive: 	 He Lost Everything by: John Ottman with avg. popularity derivative: 0.25
Big Movers Positive: 	 Fireball by: Pitbull with avg. popularity derivative: 0.25
Big Movers Positive: 	 Wild Heart by: The Vamps with avg. popularity derivative: 0.25
Big Movers Positive: 	 Try - Alex Ghenea Remix by: Colbie Caillat with avg. popularity derivative: 0.25
Big Movers Positive: 	 Preach by: Drake with avg. popularity derivative: 0.25
Big Movers Positive: 	 Westfjords (feat. Abigail Breslin) by: Abigail Breslin with avg. popularity derivative: 0.25
Big Movers Positive: 	 Arrival At Aslan's How by: Harry Gregson-Williams with avg. popularity derivative: 0.25
Big Movers Positive: 	 Nothing Really Matters by: Mr. Probz with avg. popularity derivative: 0.25
Big Movers Positive: 	 Heroes (We Could Be) by: Tove Lo with avg. popularity derivative: 0.25
Big Movers Positive: 	 Storm by: Lifehouse with avg. popularity derivative: 0.25
Big Movers Positive: 	 Parachute by: Olivia Somerlyn with avg. popularity derivative: 0.25
Big Movers Positive: 	 Like The Cool Kids (Extended Mix) by: The Cool Kids with avg. popularity derivative: 0.25
Big Movers Positive: 	 Burning Doves by: Doves with avg. popularity derivative: 0.25
Big Movers Positive: 	 Mooi by: Wudstik with avg. popularity derivative: 0.25
Big Movers Positive: 	 Hymn To The Sea by: James Horner with avg. popularity derivative: 0.25
Big Movers Positive: 	 Ik Val by: Wudstik with avg. popularity derivative: 0.25
Big Movers Positive: 	 Love Pretenders by: The Madden Brothers with avg. popularity derivative: 0.25
Big Movers Positive: 	 Good Girls by: 5 Seconds Of Summer with avg. popularity derivative: 0.25
Big Movers Positive: 	 Invincible by: Kelly Clarkson with avg. popularity derivative: 0.25
Big Movers Positive: 	 UV Love by: Clinton Sparks with avg. popularity derivative: 0.25
Big Movers Positive: 	 Adiós by: Ricky Martin with avg. popularity derivative: 0.25
Big Movers Positive: 	 It Ain't The Whiskey by: Gary Allan with avg. popularity derivative: 0.25
Big Movers Positive: 	 Latch - Acoustic by: Sam Smith with avg. popularity derivative: 0.25
Big Movers Positive: 	 Rayvolutie by: Raymzter with avg. popularity derivative: 0.25
